season,name,partner,industry,homestate,homecountry,age,result,placement,rule_type,elimination_week,total_weeks
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,RANK,,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,RANK,,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,RANK,,5
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,RANK,4,4
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,RANK,3,3
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,RANK,2,2
2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,RANK,,8
2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,RANK,,8
2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,RANK,,8
2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,RANK,7,7
2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,RANK,6,6
2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,RANK,5,5
2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,RANK,4,4
2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,RANK,3,3
2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,RANK,2,2
2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,RANK,1,1
3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,PERCENTAGE,,10
3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,PERCENTAGE,,10
3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,PERCENTAGE,,9
3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,PERCENTAGE,8,8
3,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,PERCENTAGE,7,7
3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,PERCENTAGE,,5
3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,PERCENTAGE,5,5
3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,PERCENTAGE,4,4
3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,PERCENTAGE,3,3
3,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,PERCENTAGE,2,2
3,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,PERCENTAGE,1,1
4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,PERCENTAGE,,10
4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,PERCENTAGE,,10
4,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,PERCENTAGE,,10
4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,PERCENTAGE,9,9
4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,PERCENTAGE,8,8
4,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,PERCENTAGE,7,7
4,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,PERCENTAGE,6,6
4,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,PERCENTAGE,5,5
4,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,PERCENTAGE,4,4
4,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,PERCENTAGE,3,3
4,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,Eliminated Week 2,11,PERCENTAGE,2,2
5,Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,1st Place,1,PERCENTAGE,,10
5,Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,2nd Place,2,PERCENTAGE,,10
5,Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,3rd Place,3,PERCENTAGE,,10
5,Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,Eliminated Week 9,4,PERCENTAGE,9,9
5,Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,Eliminated Week 8,5,PERCENTAGE,8,8
5,Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,Eliminated Week 7,6,PERCENTAGE,7,7
5,Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,Eliminated Week 6,7,PERCENTAGE,6,6
5,Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,Eliminated Week 5,8,PERCENTAGE,5,5
5,Floyd Mayweather Jr.,Karina Smirnoff,Athlete,Michigan,United States,30,Eliminated Week 4,9,PERCENTAGE,4,4
5,Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,Eliminated Week 3,10,PERCENTAGE,3,3
5,Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,Eliminated Week 2,11,PERCENTAGE,2,2
5,Josie Maran,Alec Mazo,Model,California,United States,29,Eliminated Week 1,12,PERCENTAGE,1,1
6,Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,1st Place,1,PERCENTAGE,,10
6,Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,2nd Place,2,PERCENTAGE,,10
6,Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,3rd Place,3,PERCENTAGE,,10
6,Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,Eliminated Week 9,4,PERCENTAGE,9,9
6,Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,Eliminated Week 8,5,PERCENTAGE,8,8
6,Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,Eliminated Week 7,6,PERCENTAGE,7,7
6,Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,Eliminated Week 6,7,PERCENTAGE,6,6
6,Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,Eliminated Week 5,8,PERCENTAGE,5,5
6,Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,Eliminated Week 4,9,PERCENTAGE,4,4
6,Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,Eliminated Week 3,10,PERCENTAGE,3,3
6,Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,Eliminated Week 2,11,PERCENTAGE,2,2
6,Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,Eliminated Week 2,12,PERCENTAGE,2,2
7,Brooke Burke,Derek Hough,TV Personality,Connecticut,United States,37,1st Place,1,PERCENTAGE,,10
7,Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,2nd Place,2,PERCENTAGE,,10
7,Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,3rd Place,3,PERCENTAGE,,10
7,Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,Eliminated Week 9,4,PERCENTAGE,9,9
7,Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,Eliminated Week 8,5,PERCENTAGE,8,8
7,Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,Eliminated Week 7,6,PERCENTAGE,7,7
7,Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,Eliminated Week 6,7,PERCENTAGE,6,6
7,Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,Eliminated Week 5,8,PERCENTAGE,5,5
7,Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,Eliminated Week 4,9,PERCENTAGE,4,4
7,Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,Withdrew,10,PERCENTAGE,,2
7,Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,Eliminated Week 2,11,PERCENTAGE,2,2
7,Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,Eliminated Week 1,12,PERCENTAGE,1,1
7,Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,Eliminated Week 1,13,PERCENTAGE,1,1
8,Shawn Johnson,Mark Ballas,Athlete,Iowa,United States,17,1st Place,1,PERCENTAGE,,11
8,Gilles Marini,Cheryl Burke,Actor/Actress,,France,33,2nd Place,2,PERCENTAGE,,11
8,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,26,3rd Place,3,PERCENTAGE,,11
8,Ty Murray,Chelsie Hightower,Athlete,Arizona,United States,39,Eliminated Week 10,4,PERCENTAGE,10,10
8,Lil' Kim,Derek Hough,Singer/Rapper,New York,United States,34,Eliminated Week 9,5,PERCENTAGE,9,9
8,Chuck Wicks,Julianne Hough,Singer/Rapper,Delaware,United States,29,Eliminated Week 8,6,PERCENTAGE,8,8
8,Lawrence Taylor,Edyta Sliwinska,Athlete,Virginia,United States,50,Eliminated Week 7,7,PERCENTAGE,7,7
8,Steve-O,Lacey Schwimmer,TV Personality,,England,34,Eliminated Week 6,8,PERCENTAGE,6,6
8,David Alan Grier,Kym Johnson,Actor/Actress,Michigan,United States,52,Eliminated Week 5,9,PERCENTAGE,5,5
8,Steve Wozniak,Karina Smirnoff,Entrepreneur,California,United States,58,Eliminated Week 4,10,PERCENTAGE,4,4
8,Holly Madison,Dmitry Chaplin,TV Personality,Oregon,United States,30,Eliminated Week 4,11,PERCENTAGE,4,4
8,Denise Richards,Maksim Chmerkoskiy,Actor/Actress,Illinois,United States,38,Eliminated Week 3,12,PERCENTAGE,3,3
8,Belinda Carlisle,Jonathan Roberts,Singer/Rapper,California,United States,50,Eliminated Week 2,13,PERCENTAGE,2,2
9,Donny Osmond,Kym Johnson,Singer/Rapper,Utah,United States,51,1st Place,1,PERCENTAGE,,10
9,Mya,Dmitry Chaplin,Singer/Rapper,Washington D.C.,United States,29,2nd Place,2,PERCENTAGE,,10
9,Kelly Osbourne,Louis van Amstel,TV Personality,,England,24,3rd Place,3,PERCENTAGE,,10
9,Joanna Krupa,Derek Hough,Model,,Poland,30,Eliminated Week 9,4,PERCENTAGE,9,9
9,Aaron Carter,Karina Smirnoff,Singer/Rapper,Florida,United States,21,Eliminated Week 8,5,PERCENTAGE,8,8
9,Mark Dacascos,Lacey Schwimmer,Actor/Actress,Hawaii,United States,45,Eliminated Week 7,6,PERCENTAGE,7,7
9,Michael Irvin,Anna Demidova,Athlete,Florida,United States,43,Eliminated Week 7,7,PERCENTAGE,7,7
9,Louie Vito,Chelsie Hightower,Athlete,Ohio,United States,21,Eliminated Week 6,8,PERCENTAGE,6,6
9,Melissa Joan Hart,Mark Ballas,Actor/Actress,New York,United States,33,Eliminated Week 6,9,PERCENTAGE,6,6
9,Natalie Coughlin,Alec Mazo,Athlete,California,United States,27,Eliminated Week 5,10,PERCENTAGE,5,5
9,Chuck Liddell,Anna Trebunskaya,Athlete,California,United States,39,Eliminated Week 4,11,PERCENTAGE,4,4
9,Debi Mazar,Maksim Chmerkoskiy,Actor/Actress,New York,United States,45,Eliminated Week 3,12,PERCENTAGE,3,3
9,Tom DeLay,Cheryl Burke,Politician,Texas,United States,62,Withdrew,13,PERCENTAGE,,3
9,Kathy Ireland,Tony Dovolani,Model,California,United States,46,Eliminated Week 2,14,PERCENTAGE,2,2
9,Macy Gray,Jonathan Roberts,Singer/Rapper,Ohio,United States,42,Eliminated Week 1,15,PERCENTAGE,1,1
9,Ashley Hamiliton,Edyta Sliwinska,Actor/Actress,California,United States,34,Eliminated Week 1,16,PERCENTAGE,1,1
10,Nicole Scherzinger,Derek Hough,Singer/Rapper,Hawaii,United States,31,1st Place,1,PERCENTAGE,,10
10,Evan Lysacek,Anna Trebunskaya,Athlete,Illinois,United States,24,2nd Place,2,PERCENTAGE,,10
10,Erin Andrews,Maksim Chmerkoskiy,Sports Broadcaster,Maine,United States,32,3rd Place,3,PERCENTAGE,,10
10,Chad Ochocinco,Cheryl Burke,Athlete,Florida,United States,32,Eliminated Week 9,4,PERCENTAGE,9,9
10,Niecy Nash,Louis van Amstel,Actor/Actress,California,United States,40,Eliminated Week 8,5,PERCENTAGE,8,8
10,Pamela Anderson,Damian Whitewood,Model,,Canada,42,Eliminated Week 7,6,PERCENTAGE,7,7
10,Jake Pavelka,Chelsie Hightower,TV Personality,Texas,United States,32,Eliminated Week 6,7,PERCENTAGE,6,6
10,Kate Gosselin,Tony Dovolani,TV Personality,Pennsylvania,United States,35,Eliminated Week 5,8,PERCENTAGE,5,5
10,Aiden Turner,Edyta Sliwinska,Actor/Actress,,England,32,Eliminated Week 4,9,PERCENTAGE,4,4
10,Buzz Aldrin,Ashly DelGrosso,Astronaut,New Jersey,United States,80,Eliminated Week 3,10,PERCENTAGE,3,3
10,Shannen Doherty,Mark Ballas,Actor/Actress,Tennessee,United States,38,Eliminated Week 2,11,PERCENTAGE,2,2
11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1st Place,1,PERCENTAGE,,10
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2nd Place,2,PERCENTAGE,,10
11,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,PERCENTAGE,,10
11,Brandy,Maksim Chmerkoskiy,Singer/Rapper,Mississippi,United States,31,Eliminated Week 9,4,PERCENTAGE,9,9
11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,Eliminated Week 8,5,PERCENTAGE,8,8
11,Rick Fox,Cheryl Burke,Athlete,,Canada,41,Eliminated Week 7,6,PERCENTAGE,7,7
11,Audrina Patridge,Tony Dovolani,TV Personality,California,United States,25,Eliminated Week 6,7,PERCENTAGE,6,6
11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,Eliminated Week 5,8,PERCENTAGE,5,5
11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,Eliminated Week 4,9,PERCENTAGE,4,4
11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,Eliminated Week 3,10,PERCENTAGE,3,3
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,Eliminated Week 2,11,PERCENTAGE,2,2
11,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,Eliminated Week 1,12,PERCENTAGE,1,1
12,Hines Ward,Kym Johnson,Athlete,,South Korea,35,1st Place,1,PERCENTAGE,,10
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2nd Place,2,PERCENTAGE,,10
12,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3rd Place,3,PERCENTAGE,,10
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,Eliminated Week 9,4,PERCENTAGE,9,9
12,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,Eliminated Week 8,5,PERCENTAGE,8,8
12,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,Eliminated Week 7,6,PERCENTAGE,7,7
12,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,Eliminated Week 6,7,PERCENTAGE,6,6
12,Petra Nemcova,Dmitry Chaplin,Model,,Czechoslovakia,31,Eliminated Week 5,8,PERCENTAGE,5,5
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,Eliminated Week 4,9,PERCENTAGE,4,4
12,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,Eliminated Week 3,10,PERCENTAGE,3,3
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,Eliminated Week 2,11,PERCENTAGE,2,2
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,1st Place,1,PERCENTAGE,,10
13,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,2nd Place,2,PERCENTAGE,,10
13,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,3rd Place,3,PERCENTAGE,,10
13,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,Eliminated Week 9,4,PERCENTAGE,9,9
13,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,Eliminated Week 8,5,PERCENTAGE,8,8
13,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,Eliminated Week 7,6,PERCENTAGE,7,7
13,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,Eliminated Week 6,7,PERCENTAGE,6,6
13,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,Eliminated Week 5,8,PERCENTAGE,5,5
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,Eliminated Week 4,9,PERCENTAGE,4,4
13,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,Eliminated Week 3,10,PERCENTAGE,3,3
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,,Italy,33,Eliminated Week 2,11,PERCENTAGE,2,2
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,Eliminated Week 1,12,PERCENTAGE,1,1
14,Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,1st Place,1,PERCENTAGE,,10
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,,Wales,31,2nd Place,2,PERCENTAGE,,10
14,William Levy,Cheryl Burke,Actor/Actress,,Cuba,31,3rd Place,3,PERCENTAGE,,10
14,Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,Eliminated Week 9,4,PERCENTAGE,9,9
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,Eliminated Week 8,5,PERCENTAGE,8,8
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,Eliminated Week 8,6,PERCENTAGE,8,8
14,Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,Eliminated Week 7,7,PERCENTAGE,7,7
14,Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,Eliminated Week 6,8,PERCENTAGE,6,6
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,Eliminated Week 5,9,PERCENTAGE,5,5
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,Eliminated Week 4,10,PERCENTAGE,4,4
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,Eliminated Week 3,11,PERCENTAGE,3,3
14,Martina Navratilova,Tony Dovolani,Athlete,,Czechoslovakia,55,Eliminated Week 2,12,PERCENTAGE,2,2
15,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,1st Place,1,PERCENTAGE,,10
15,Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,2nd Place,2,PERCENTAGE,,10
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,3rd Place,3,PERCENTAGE,,10
15,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,Eliminated Week 9,4,PERCENTAGE,9,9
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,Eliminated Week 9,5,PERCENTAGE,9,9
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,,France,36,Eliminated Week 8,6,PERCENTAGE,8,8
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,Eliminated Week 8,7,PERCENTAGE,8,8
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,Eliminated Week 6,8,PERCENTAGE,6,6
15,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,Eliminated Week 4,9,PERCENTAGE,4,4
15,Helio Castroneves,Chelsie Hightower,Racing Driver,,Brazil,37,Eliminated Week 3,10,PERCENTAGE,3,3
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,Eliminated Week 3,11,PERCENTAGE,3,3
15,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,Eliminated Week 2,12,PERCENTAGE,2,2
15,Pamela Anderson,Tristan MacManus,Model,,Canada,45,Eliminated Week 1,13,PERCENTAGE,1,1
16,Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,1st Place,1,PERCENTAGE,,10
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,2nd Place,2,PERCENTAGE,,10
16,Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,3rd Place,3,PERCENTAGE,,10
16,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,Eliminated Week 10,4,PERCENTAGE,10,10
16,Ingo Rademacher,Kym Johnson,Actor/Actress,,Germany,41,Eliminated Week 9,5,PERCENTAGE,9,9
16,Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,Eliminated Week 8,6,PERCENTAGE,8,8
16,Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,Eliminated Week 7,7,PERCENTAGE,7,7
16,Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,Eliminated Week 6,8,PERCENTAGE,6,6
16,D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,Eliminated Week 5,9,PERCENTAGE,5,5
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,,England,52,Eliminated Week 4,10,PERCENTAGE,4,4
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,Eliminated Week 3,11,PERCENTAGE,3,3
16,Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,Withdrew,12,PERCENTAGE,,2
17,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1st Place,1,PERCENTAGE,,11
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,2nd Place,2,PERCENTAGE,,11
17,Jack Osbourne,Cheryl Burke,TV Personality,,England,27,3rd Place,3,PERCENTAGE,,11
17,Bill Engvall,Emma Slater,Comedian,Texas,United States,56,Eliminated Week 11,4,PERCENTAGE,11,11
17,Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,Eliminated Week 10,5,PERCENTAGE,10,10
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,Eliminated Week 9,6,PERCENTAGE,9,9
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,Eliminated Week 8,7,PERCENTAGE,8,8
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,,Chile,25,Eliminated Week 7,8,PERCENTAGE,7,7
17,Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,Eliminated Week 5,9,PERCENTAGE,5,5
17,Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,Eliminated Week 4,10,PERCENTAGE,4,4
17,Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,Eliminated Week 3,11,PERCENTAGE,3,3
17,Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,Eliminated Week 2,12,PERCENTAGE,2,2
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,1st Place,1,PERCENTAGE,,10
18,Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,2nd Place,2,PERCENTAGE,,10
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,3rd Place,3,PERCENTAGE,,10
18,James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,Eliminated Week 10,4,PERCENTAGE,10,10
18,Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,Eliminated Week 9,5,PERCENTAGE,9,9
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,Eliminated Week 8,6,PERCENTAGE,8,8
18,NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,Eliminated Week 7,7,PERCENTAGE,7,7
18,Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,Eliminated Week 6,8,PERCENTAGE,6,6
18,Cody Simpson,Witney Carson,Singer/Rapper,,Australia,17,Eliminated Week 5,9,PERCENTAGE,5,5
18,Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,Withdrew,10,PERCENTAGE,,2
18,Sean Avery,Karina Smirnoff,Athlete,,Canada,33,Eliminated Week 2,11,PERCENTAGE,2,2
18,Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,Eliminated Week 2,12,PERCENTAGE,2,1
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1st Place,1,PERCENTAGE,,11
19,Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,2nd Place,2,PERCENTAGE,,11
