season,week,eliminated,num_survivors,survivors,rule_type
25,2,Debbie Gibson,12,Sasha Pieterse; Frankie Muniz; Jordan Fisher; Derek Fisher; Nikki Bella; Terrell Owens; Victoria Arlen; Barbara Corcoran; Lindsey Stirling; Nick Lachey; Drew Scott; Vanessa Lachey,PERCENTAGE
25,4,Derek Fisher,10,Sasha Pieterse; Frankie Muniz; Jordan Fisher; Nikki Bella; Terrell Owens; Victoria Arlen; Lindsey Stirling; Nick Lachey; Drew Scott; Vanessa Lachey,PERCENTAGE
25,5,Sasha Pieterse,9,Frankie Muniz; Jordan Fisher; Nikki Bella; Terrell Owens; Victoria Arlen; Lindsey Stirling; Nick Lachey; Drew Scott; Vanessa Lachey,PERCENTAGE
25,6,Nick Lachey,8,Frankie Muniz; Jordan Fisher; Nikki Bella; Terrell Owens; Victoria Arlen; Lindsey Stirling; Drew Scott; Vanessa Lachey,PERCENTAGE
25,7,Nikki Bella,7,Frankie Muniz; Jordan Fisher; Terrell Owens; Victoria Arlen; Lindsey Stirling; Drew Scott; Vanessa Lachey,PERCENTAGE
25,7,Vanessa Lachey,7,Frankie Muniz; Jordan Fisher; Nikki Bella; Terrell Owens; Victoria Arlen; Lindsey Stirling; Drew Scott,PERCENTAGE
25,8,Terrell Owens,5,Frankie Muniz; Jordan Fisher; Victoria Arlen; Lindsey Stirling; Drew Scott,PERCENTAGE
25,9,Victoria Arlen,4,Frankie Muniz; Jordan Fisher; Lindsey Stirling; Drew Scott,PERCENTAGE
25,10,Drew Scott,3,Frankie Muniz; Jordan Fisher; Lindsey Stirling,PERCENTAGE
26,1,Jamie Anderson,9,Johnny Damon; Kareem Abdul-Jabbar; Arike Ogunbowale; Jennie Finch Daigle; Chris Mazdzer; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,1,Johnny Damon,9,Jamie Anderson; Kareem Abdul-Jabbar; Arike Ogunbowale; Jennie Finch Daigle; Chris Mazdzer; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,2,Kareem Abdul-Jabbar,7,Arike Ogunbowale; Jennie Finch Daigle; Chris Mazdzer; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,2,Arike Ogunbowale,7,Kareem Abdul-Jabbar; Jennie Finch Daigle; Chris Mazdzer; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,3,Jennie Finch Daigle,5,Chris Mazdzer; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,3,Chris Mazdzer,5,Jennie Finch Daigle; Mirai Nagasu; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
26,3,Mirai Nagasu,5,Jennie Finch Daigle; Chris Mazdzer; Tonya Harding; Josh Norman; Adam Rippon,PERCENTAGE
27,1,Nikki Glaser,12,Juan Pablo Di Pace; Evanna Lynch; Nancy McKeon; John Schneider; Milo Manheim; Danelle Umstead; Mary Lou Retton; DeMarcus Ware; Bobby Bones; Tinashe; Alexis Ren; Joe Amabile,PERCENTAGE
27,2,Danelle Umstead,11,Juan Pablo Di Pace; Evanna Lynch; Nancy McKeon; John Schneider; Milo Manheim; Mary Lou Retton; DeMarcus Ware; Bobby Bones; Tinashe; Alexis Ren; Joe Amabile,PERCENTAGE
27,3,Nancy McKeon,10,Juan Pablo Di Pace; Evanna Lynch; John Schneider; Milo Manheim; Mary Lou Retton; DeMarcus Ware; Bobby Bones; Tinashe; Alexis Ren; Joe Amabile,PERCENTAGE
27,4,Tinashe,9,Juan Pablo Di Pace; Evanna Lynch; John Schneider; Milo Manheim; Mary Lou Retton; DeMarcus Ware; Bobby Bones; Alexis Ren; Joe Amabile,PERCENTAGE
27,6,Mary Lou Retton,8,Juan Pablo Di Pace; Evanna Lynch; John Schneider; Milo Manheim; DeMarcus Ware; Bobby Bones; Alexis Ren; Joe Amabile,PERCENTAGE
27,7,John Schneider,7,Juan Pablo Di Pace; Evanna Lynch; Milo Manheim; DeMarcus Ware; Bobby Bones; Alexis Ren; Joe Amabile,PERCENTAGE
27,7,DeMarcus Ware,7,Juan Pablo Di Pace; Evanna Lynch; John Schneider; Milo Manheim; Bobby Bones; Alexis Ren; Joe Amabile,PERCENTAGE
27,8,Juan Pablo Di Pace,5,Evanna Lynch; Milo Manheim; Bobby Bones; Alexis Ren; Joe Amabile,PERCENTAGE
27,8,Joe Amabile,5,Juan Pablo Di Pace; Evanna Lynch; Milo Manheim; Bobby Bones; Alexis Ren,PERCENTAGE
28,2,Mary Wilson,11,Kate Flannery; James Van Der Beek; Kel Mitchell; Ray Lewis; Lamar Odom; Sailor Brinkley-Cook; Sean Spicer; Lauren Alaina; Ally Brooke; Karamo Brown; Hannah Brown,RANK_WITH_SAVE
28,4,Lamar Odom,9,Kate Flannery; James Van Der Beek; Kel Mitchell; Sailor Brinkley-Cook; Sean Spicer; Lauren Alaina; Ally Brooke; Karamo Brown; Hannah Brown,RANK_WITH_SAVE
28,6,Sailor Brinkley-Cook,8,Kate Flannery; James Van Der Beek; Kel Mitchell; Sean Spicer; Lauren Alaina; Ally Brooke; Karamo Brown; Hannah Brown,RANK_WITH_SAVE
28,7,Karamo Brown,7,Kate Flannery; James Van Der Beek; Kel Mitchell; Sean Spicer; Lauren Alaina; Ally Brooke; Hannah Brown,RANK_WITH_SAVE
28,8,Kate Flannery,6,James Van Der Beek; Kel Mitchell; Sean Spicer; Lauren Alaina; Ally Brooke; Hannah Brown,RANK_WITH_SAVE
28,9,Sean Spicer,5,James Van Der Beek; Kel Mitchell; Lauren Alaina; Ally Brooke; Hannah Brown,RANK_WITH_SAVE
28,10,James Van Der Beek,4,Kel Mitchell; Lauren Alaina; Ally Brooke; Hannah Brown,RANK_WITH_SAVE
29,2,Charles Oakley,14,Anne Heche; Jesse Metcalfe; Chrishell Stause; Skai Jackson; Justina Machado; Veron Davis; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Carole Baskin; Monica Aldama; Jeannie Mai,RANK_WITH_SAVE
29,3,Carole Baskin,13,Anne Heche; Jesse Metcalfe; Chrishell Stause; Skai Jackson; Justina Machado; Veron Davis; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Monica Aldama; Jeannie Mai,RANK_WITH_SAVE
29,4,Anne Heche,12,Jesse Metcalfe; Chrishell Stause; Skai Jackson; Justina Machado; Veron Davis; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Monica Aldama; Jeannie Mai,RANK_WITH_SAVE
29,5,Jesse Metcalfe,11,Chrishell Stause; Skai Jackson; Justina Machado; Veron Davis; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Monica Aldama; Jeannie Mai,RANK_WITH_SAVE
29,6,Veron Davis,10,Chrishell Stause; Skai Jackson; Justina Machado; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Monica Aldama; Jeannie Mai,RANK_WITH_SAVE
29,7,Monica Aldama,9,Chrishell Stause; Skai Jackson; Justina Machado; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe; Jeannie Mai,RANK_WITH_SAVE
29,8,Chrishell Stause,7,Skai Jackson; Justina Machado; Johnny Weir; Nev Schulman; AJ McLean; Nelly; Kaitlyn Bristowe,RANK_WITH_SAVE
29,9,AJ McLean,6,Skai Jackson; Justina Machado; Johnny Weir; Nev Schulman; Nelly; Kaitlyn Bristowe,RANK_WITH_SAVE
29,10,Skai Jackson,5,Justina Machado; Johnny Weir; Nev Schulman; Nelly; Kaitlyn Bristowe,RANK_WITH_SAVE
29,10,Johnny Weir,5,Skai Jackson; Justina Machado; Nev Schulman; Nelly; Kaitlyn Bristowe,RANK_WITH_SAVE
30,2,Martin Kove,14,"Brian Austin Green; Melora Hardin; Matt James; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Melanie C; Jimmie Allen; Olivia Jade; JoJo Siwa; Christine Chiu; Kenya Moore; Amanda Kloots",RANK_WITH_SAVE
30,3,Christine Chiu,13,"Brian Austin Green; Melora Hardin; Matt James; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Melanie C; Jimmie Allen; Olivia Jade; JoJo Siwa; Kenya Moore; Amanda Kloots",RANK_WITH_SAVE
30,4,Brian Austin Green,12,"Melora Hardin; Matt James; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Melanie C; Jimmie Allen; Olivia Jade; JoJo Siwa; Kenya Moore; Amanda Kloots",RANK_WITH_SAVE
30,4,Matt James,12,"Brian Austin Green; Melora Hardin; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Melanie C; Jimmie Allen; Olivia Jade; JoJo Siwa; Kenya Moore; Amanda Kloots",RANK_WITH_SAVE
30,5,Melanie C,10,"Melora Hardin; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Jimmie Allen; Olivia Jade; JoJo Siwa; Kenya Moore; Amanda Kloots",RANK_WITH_SAVE
30,6,Kenya Moore,9,"Melora Hardin; Mike ""The Miz"" Mizanin; Suni Lee; Iman Shumpert; Cody Rigsby; Jimmie Allen; Olivia Jade; JoJo Siwa; Amanda Kloots",RANK_WITH_SAVE
30,7,"Mike ""The Miz"" Mizanin",8,Melora Hardin; Suni Lee; Iman Shumpert; Cody Rigsby; Jimmie Allen; Olivia Jade; JoJo Siwa; Amanda Kloots,RANK_WITH_SAVE
30,8,Jimmie Allen,7,Melora Hardin; Suni Lee; Iman Shumpert; Cody Rigsby; Olivia Jade; JoJo Siwa; Amanda Kloots,RANK_WITH_SAVE
30,8,Olivia Jade,7,Melora Hardin; Suni Lee; Iman Shumpert; Cody Rigsby; Jimmie Allen; JoJo Siwa; Amanda Kloots,RANK_WITH_SAVE
30,9,Melora Hardin,5,Suni Lee; Iman Shumpert; Cody Rigsby; JoJo Siwa; Amanda Kloots,RANK_WITH_SAVE
30,9,Suni Lee,5,Melora Hardin; Iman Shumpert; Cody Rigsby; JoJo Siwa; Amanda Kloots,RANK_WITH_SAVE
31,1,Jason Lewis,15,Cheryl Ladd; Selma Blair; Joseph Baena; Trevor Donovan; Daniel Durant; Wayne Brady; Sam Champion; Jessie James Decker; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Teresa Giudice; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,2,Teresa Giudice,14,Cheryl Ladd; Selma Blair; Joseph Baena; Trevor Donovan; Daniel Durant; Wayne Brady; Sam Champion; Jessie James Decker; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,3,Cheryl Ladd,13,Selma Blair; Joseph Baena; Trevor Donovan; Daniel Durant; Wayne Brady; Sam Champion; Jessie James Decker; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,4,Sam Champion,12,Selma Blair; Joseph Baena; Trevor Donovan; Daniel Durant; Wayne Brady; Jessie James Decker; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,5,Joseph Baena,11,Selma Blair; Trevor Donovan; Daniel Durant; Wayne Brady; Jessie James Decker; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,6,Jessie James Decker,9,Trevor Donovan; Daniel Durant; Wayne Brady; Jordin Sparks; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,7,Jordin Sparks,8,Trevor Donovan; Daniel Durant; Wayne Brady; Heidi D'Amelio; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,8,Heidi D'Amelio,7,Trevor Donovan; Daniel Durant; Wayne Brady; Charli D'Amelio; Vinny Guadagnino; Shangela; Gabby Windey,RANK_WITH_SAVE
31,8,Vinny Guadagnino,7,Trevor Donovan; Daniel Durant; Wayne Brady; Heidi D'Amelio; Charli D'Amelio; Shangela; Gabby Windey,RANK_WITH_SAVE
31,9,Trevor Donovan,5,Daniel Durant; Wayne Brady; Charli D'Amelio; Shangela; Gabby Windey,RANK_WITH_SAVE
31,9,Daniel Durant,5,Trevor Donovan; Wayne Brady; Charli D'Amelio; Shangela; Gabby Windey,RANK_WITH_SAVE
32,1,Matt Walsh,13,Jamie Lynn Spears; Mira Sorvino; Barry Williams; Alyson Hannigan; Xochitl Gomez; Adrian Peterson; Tyson Beckford; Jason Mraz; Lele Pons; Harry Jowsey; Mauricio Umansky; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,2,Jamie Lynn Spears,12,Mira Sorvino; Barry Williams; Alyson Hannigan; Xochitl Gomez; Adrian Peterson; Tyson Beckford; Jason Mraz; Lele Pons; Harry Jowsey; Mauricio Umansky; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,3,Tyson Beckford,11,Mira Sorvino; Barry Williams; Alyson Hannigan; Xochitl Gomez; Adrian Peterson; Jason Mraz; Lele Pons; Harry Jowsey; Mauricio Umansky; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,4,Adrian Peterson,10,Mira Sorvino; Barry Williams; Alyson Hannigan; Xochitl Gomez; Jason Mraz; Lele Pons; Harry Jowsey; Mauricio Umansky; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,5,Mira Sorvino,9,Barry Williams; Alyson Hannigan; Xochitl Gomez; Jason Mraz; Lele Pons; Harry Jowsey; Mauricio Umansky; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,6,Mauricio Umansky,8,Barry Williams; Alyson Hannigan; Xochitl Gomez; Jason Mraz; Lele Pons; Harry Jowsey; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,7,Lele Pons,7,Barry Williams; Alyson Hannigan; Xochitl Gomez; Jason Mraz; Harry Jowsey; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,8,Barry Williams,6,Alyson Hannigan; Xochitl Gomez; Jason Mraz; Harry Jowsey; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
32,9,Harry Jowsey,5,Alyson Hannigan; Xochitl Gomez; Jason Mraz; Charity Lawson; Ariana Madix,RANK_WITH_SAVE
33,2,Tori Spelling,12,Eric Roberts; Reginald VelJohnson; Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Anna Delvey; Brooks Nader; Phaedra Parks; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,2,Anna Delvey,12,Tori Spelling; Eric Roberts; Reginald VelJohnson; Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Brooks Nader; Phaedra Parks; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,3,Eric Roberts,10,Reginald VelJohnson; Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Brooks Nader; Phaedra Parks; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,3,Reginald VelJohnson,10,Eric Roberts; Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Brooks Nader; Phaedra Parks; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,4,Brooks Nader,8,Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Phaedra Parks; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,5,Phaedra Parks,7,Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Jenn Tran; Joey Graziadei,RANK_WITH_SAVE
33,6,Jenn Tran,6,Chandler Kinney; Dwight Howard; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Joey Graziadei,RANK_WITH_SAVE
33,7,Dwight Howard,5,Chandler Kinney; Danny Amendola; Stephen Nedoroscik; Ilona Maher; Joey Graziadei,RANK_WITH_SAVE
34,2,Corey Feldman,13,Danielle Fishel; Elaine Hendrix; Baron Davis; Jordan Chiles; Andy Richter; Robert Irwin; Hilaria Baldwin; Lauren Jauregui; Scott Hoying; Alix Earle; Jen Affleck; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,2,Baron Davis,13,Corey Feldman; Danielle Fishel; Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Hilaria Baldwin; Lauren Jauregui; Scott Hoying; Alix Earle; Jen Affleck; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,3,Lauren Jauregui,11,Danielle Fishel; Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Hilaria Baldwin; Scott Hoying; Alix Earle; Jen Affleck; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,4,Hilaria Baldwin,10,Danielle Fishel; Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Scott Hoying; Alix Earle; Jen Affleck; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,6,Scott Hoying,9,Danielle Fishel; Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Alix Earle; Jen Affleck; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,7,Jen Affleck,8,Danielle Fishel; Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Alix Earle; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,8,Danielle Fishel,7,Elaine Hendrix; Jordan Chiles; Andy Richter; Robert Irwin; Alix Earle; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,9,Andy Richter,6,Elaine Hendrix; Jordan Chiles; Robert Irwin; Alix Earle; Whitney Leavitt; Dylan Efron,RANK_WITH_SAVE
34,10,Whitney Leavitt,5,Elaine Hendrix; Jordan Chiles; Robert Irwin; Alix Earle; Dylan Efron,RANK_WITH_SAVE
